Sample	type	UAR.X	UAR.Y
P1	XXY	5.315080169	0.054029065
P2	XXY	5.269708469	0.059027712
P3	XXYY	5.28017553	0.151282622
P4	XYY	4.380789297	0.208835764
P5	XXY	5.231189176	0.059520471
P6	XXY	5.225200857	0.060944647
P7	XXY	5.239452715	0.073492405
P8	XXY	5.321570831	0.08299654
P9	XXY	5.258867593	0.091817847
P10	XYY	5.018655599	0.087338967
P11	XXY	5.252545923	0.085897495
P12	XXY	5.263528681	0.073274242
P13	XXY	5.26067172	0.068456872
P14	XYY	4.86237336	0.124255078
P15	XYY	4.845383469	0.122938712
P16	XXY	5.2317196	0.056314989
P17	XXY	5.234299735	0.072216719
P18	XXY	5.202855507	0.073558263
P19	XXY	5.264254252	0.081420577
P20	XXY	5.338857438	0.070392291
P21	XXY	5.236634347	0.07391611
P22	XXY	5.241292239	0.059022183
P23	XYY	4.667679458	0.152644665
P24	XXY	5.23944915	0.075579307
P25	XXY	5.21542731	0.100133877
P26	XXY	5.483232567	0.031281197
P27	XXY	5.891551653	0.072170778
P28	XYY	4.380789297	0.208835764
P29	XXY	5.231189176	0.059520471
P30	XXY	5.225200857	0.060944647
P31	XXY	5.258867593	0.091817847
P32	XYY	5.018655599	0.087338967
P33	XXY	5.234513259	0.092295835
P34	XXY	7.424518941	0.037931301
P35	XXY	5.254643038	0.086912725
P36	XXY	5.227588385	0.071878287
P37	XXY	4.806270818	0.085992628
P38	XXY	5.171510609	0.054247116
P39	XXY	5.118623691	0.052474351
P40	XXY	5.287640284	0.081011373
P41	XXY	5.243636823	0.078238149
P42	XYY	4.513964195	0.185987405
P43	XXY	5.232643279	0.057593895
P44	XXY	5.225224537	0.093965218
P45	XXY	5.265130752	0.066003236
P46	XXY	5.252963495	0.138878339
P47	XYY	4.874120061	0.109881306
P48	XYY	7.295798075	0.072654561
P49	XXY	6.912178551	0.079451198
N1	XY	4.94070076	0.057921171
N2	XY	4.822126525	0.068259661
N3	XY	4.775670373	0.067095779
N4	XY	4.919257449	0.071337903
N5	XY	4.667621824	0.08621953
N6	XY	4.836706887	0.068887312
N7	XY	4.905943375	0.066403332
N8	XY	4.761483401	0.072536831
N9	XY	4.552748768	0.102737889
N10	XY	4.724716419	0.077798957
N11	XY	4.875320811	0.060164121
N12	XY	5.040716766	0.059159826
N13	XY	4.933586754	0.068423763
N14	XY	4.597269779	0.087679613
N15	XY	4.758887922	0.072391349
N16	XY	4.656183712	0.095365579
N17	XY	4.721719384	0.088982915
N18	XY	4.711088063	0.079643493
N19	XY	4.570238503	0.101839218
N20	XY	4.616690373	0.097290492
N21	XY	4.585388755	0.096141485
N22	XY	4.78058066	0.071419482
N23	XY	4.70906591	0.087299441
N24	XY	4.565997549	0.101831391
N25	XY	5.122583834	0.04489069
N26	XY	4.824689674	0.069050401
N27	XY	4.679053715	0.084147655
N28	XY	4.911226669	0.06600485
N29	XY	4.742341799	0.078937437
N30	XY	4.526148902	0.10782337
N31	XY	4.546113109	0.102517638
N32	XY	4.736547744	0.079754954
N33	XY	4.090773601	0.15434615
N34	XY	4.788784256	0.078140844
N35	XY	4.678488285	0.089971123
N36	XY	4.626016549	0.096649093
N37	XY	4.616397854	0.097606986
N38	XY	4.650728953	0.088166869
N39	XY	4.578712424	0.099921448
N40	XY	4.656081846	0.090183576
N41	XY	4.770315888	0.078153164
N42	XY	4.827606416	0.074899349
N43	XY	4.696651065	0.085252098
N44	XY	4.896012597	0.065357312
N45	XY	4.804808069	0.075842759
N46	XY	4.845496821	0.072091381
N47	XY	4.785473281	0.075016847
N48	XY	4.852661711	0.065567442
N49	XY	4.838489204	0.07149205
N50	XY	4.979034046	0.058283654
N51	XY	4.977554544	0.052100442
N52	XY	4.999417324	0.05468364
N53	XY	4.861341247	0.06774442
N54	XY	4.743415224	0.066616795
N55	XY	4.823979871	0.072528518
N56	XY	4.844606846	0.07262534
N57	XY	4.785453333	0.071290476
N58	XY	4.651913179	0.09341286
N59	XY	4.883988354	0.064833377
N60	XY	4.600493011	0.097850647
N61	XY	4.765511278	0.074989023
N62	XY	4.561195225	0.102232221
N63	XY	4.743116667	0.080822431
N64	XY	4.695386867	0.083956852
N65	XY	4.398811592	0.118597987
N66	XY	4.413306197	0.113371551
N67	XY	4.728255175	0.085574894
N68	XY	4.723915903	0.074882521
N69	XY	4.642351715	0.093555967
N70	XY	4.797466398	0.070366338
N71	XY	4.530716427	0.099034732
N72	XY	4.872474771	0.066183701
N73	XY	4.668241889	0.083772278
N74	XY	4.804330883	0.075230671
N75	XY	4.636652145	0.085192206
N76	XY	5.123490462	0.04328987
N77	XY	4.855748647	0.071673763
N78	XY	4.38991896	0.116758295
N79	XY	4.80309736	0.07513565
N80	XY	4.462751232	0.115126813
N81	XY	4.544702831	0.096554647
N82	XY	4.478546339	0.109388275
N83	XY	4.812196957	0.075154171
N84	XY	4.390571019	0.118526524
N85	XY	4.893162262	0.061290884
N86	XY	4.823286754	0.070574259
N87	XY	4.315590612	0.125886898
N88	XY	4.764806183	0.078821918
N89	XY	4.468168231	0.112246307
N90	XY	4.684847468	0.075909244
N91	XY	4.844243414	0.06517888
N92	XY	4.747216017	0.083837764
N93	XY	4.841232598	0.071816254
N94	XY	4.194566162	0.140648974
N95	XY	4.841232924	0.070498661
N96	XY	4.838506838	0.066302427
N97	XY	4.904434214	0.063732686
N98	XY	4.853541034	0.066131987
N99	XY	4.625915909	0.093391904
N100	XY	4.514450838	0.099677476
N101	XY	4.607090331	0.086409895
N102	XY	4.673381402	0.088493579
N103	XY	4.850520049	0.075815046
N104	XY	4.722140334	0.081095259
N105	XY	4.930002126	0.071320535
N106	XY	4.78795956	0.074147335
N107	XY	4.731940473	0.079715739
N108	XY	4.88258927	0.071741451
N109	XY	4.76282536	0.078908218
N110	XY	4.633789173	0.091126362
N111	XY	4.874555577	0.06310841
N112	XY	5.03274149	0.04891258
N113	XY	5.049402887	0.064465599
N114	XY	4.84581833	0.068892585
N115	XY	4.779775163	0.077064286
N116	XY	4.709132433	0.083639494
N117	XY	4.678096405	0.089653305
N118	XY	4.564075574	0.094350167
N119	XY	4.777370389	0.082060104
N120	XY	5.04460346	0.050822949
N121	XY	4.80082553	0.070255011
N122	XY	4.690510193	0.081867898
N123	XY	4.647510442	0.094739933
N124	XY	4.732279929	0.077256323
N125	XY	4.711880512	0.084399637
N126	XY	5.220553378	0.043189553
N127	XY	4.776633819	0.076801159
N128	XY	4.67911981	0.081517091
N129	XY	4.680136254	0.086510319
N130	XY	5.039855909	0.051577703
N131	XY	4.517776605	0.10768235
N132	XY	4.873122801	0.068261945
N133	XY	4.496209464	0.109832638
N134	XY	4.934839547	0.05867068
N135	XY	4.834044953	0.067003453
N136	XY	4.673979003	0.086230213
N137	XY	4.71729742	0.081711913
N138	XY	4.67556472	0.085638371
N139	XY	4.635484455	0.091235347
N140	XY	4.758663393	0.07895482
N141	XY	4.907611219	0.065245746
N142	XY	4.975936522	0.052821962
N143	XY	4.778596101	0.079980466
N144	XY	4.963720263	0.055353431
N145	XY	4.808534724	0.071756382
N146	XY	5.076816008	0.049507029
N147	XY	4.767486352	0.076031562
N148	XY	4.710775138	0.081097979
N149	XY	4.462114425	0.113079867
N150	XY	5.085178241	0.054402928
N151	XY	4.887650888	0.06523075
N152	XY	4.571273023	0.098229292
N153	XY	4.639391535	0.091739541
N154	XY	4.855503131	0.068318494
N155	XY	5.01315581	0.054005198
N156	XY	4.511431522	0.104351118
N157	XY	4.869257656	0.073741135
N158	XY	4.592565656	0.098157087
N159	XY	4.545929756	0.097530708
N160	XY	4.742612859	0.081908864
N161	XY	5.051325636	0.045410732
N162	XY	4.715697833	0.082777525
N163	XY	4.89368776	0.062906319
N164	XY	4.497885169	0.097446236
N165	XY	4.943544211	0.054982536
N166	XY	4.71566547	0.078996158
N167	XY	4.626014079	0.091828398
N168	XY	4.491575178	0.108529848
N169	XY	4.61575524	0.094165881
N170	XY	4.71186667	0.081238093
N171	XY	4.855435405	0.061608668
N172	XY	4.830846429	0.068415018
N173	XY	4.707037291	0.086343851
N174	XY	5.026464683	0.040439752
N175	XY	4.62364135	0.092760277
N176	XY	4.713056298	0.084365259
N177	XY	4.797918549	0.073281232
N178	XY	4.924560425	0.065605668
N179	XY	4.466787215	0.110017038
N180	XY	4.845849184	0.066253229
N181	XY	4.589585823	0.083184231
N182	XY	4.884732148	0.058687668
N183	XY	4.980274383	0.056188472
N184	XY	4.735215996	0.081670673
N185	XY	4.52299382	0.106064685
N186	XY	4.573945703	0.096059263
N187	XY	4.674350191	0.086277699
N188	XY	4.530760213	0.101088665
N189	XY	4.747257941	0.082453375
N190	XY	4.815876665	0.078734619
N191	XY	4.761063346	0.082266903
N192	XY	4.700177755	0.086005945
N193	XY	4.811315479	0.075836692
N194	XY	4.785028257	0.080289099
N195	XY	4.553875062	0.103362469
N196	XY	5.072218423	0.043727442
N197	XY	4.940962896	0.064436865
N198	XY	4.857775194	0.072514899
N199	XY	4.606412628	0.088595337
N200	XY	4.814122853	0.07144819
N201	XY	5.114345884	0.041900631
N202	XY	4.631213435	0.090424733
N203	XY	4.347203355	0.122031179
N204	XY	4.967967452	0.054361544
N205	XY	4.311214666	0.12781291
N206	XY	4.910957126	0.060698714
N207	XY	4.826285812	0.067144517
N208	XY	4.492449443	0.105803453
N209	XY	4.666705524	0.089930807
N210	XY	4.521666873	0.106519689
N211	XY	4.822173677	0.067220348
N212	XY	4.820230255	0.074687945
N213	XY	4.625175417	0.090345971
